"500015","Rae","Demetrius","1-561-926-3624","Demetrius.Rae@lakeroyaluniversity.com.com","832-1718 Interdum. Rd.","Fort White","32038","Password1","No","Student","Florida","United States of America"
"500016","Ryder","Damian","1-561-641-5182","Damian.Ryder@lakeroyaluniversity.com.com","P.O. Box 402, 1289 Et St.","Glen Saint Mary","32040","Password1","No","Student","Florida","United States of America"
"500017","Lars","Gavin","1-561-549-1502","Gavin.Lars@lakeroyaluniversity.com.com","500-192 Nulla Rd.","Yulee","32041","Password1","No","Student","Florida","United States of America"
"500018","Keaton","Dillon","1-561-148-4240","Dillon.Keaton@lakeroyaluniversity.com.com","4546 Quisque Rd.","Graham","32042","Password1","No","Student","Florida","United States of America"
"500019","Xander","Levi","1-561-111-5914","Levi.Xander@lakeroyaluniversity.com.com","985-1363 Molestie Avenue","Green Cove Springs","32043","Password1","No","Student","Florida","United States of America"
"500020","Alden","Slade","1-561-724-0530","Slade.Alden@lakeroyaluniversity.com.com","Ap #818-8813 Sem. Ave","Hampton","32044","Password1","No","Student","Florida","United States of America"
"500021","Kirby","Kennan","1-561-916-7383","Kennan.Kirby@lakeroyaluniversity.com.com","P.O. Box 652, 3186 Maecenas Avenue","Hilliard","32046","Password1","No","Student","Florida","United States of America"
"500022","Burke","Veronica","1-561-999-8616","Veronica.Burke@lakeroyaluniversity.com.com","957-5569 Est Rd.","Middleburg","32050","Password1","No","Student","Florida","United States of America"
"500023","Kuame","Samson","1-561-421-8147","Samson.Kuame@lakeroyaluniversity.com.com","5683 Cras Av.","Jasper","32052","Password1","No","Student","Florida","United States of America"
"500024","Jarrod","Brett","1-561-147-1516","Brett.Jarrod@lakeroyaluniversity.com.com","P.O. Box 972, 8247 Diam. Ave","Jennings","32053","Password1","No","Student","Florida","United States of America"
"500025","Gregory","Ronan","1-561-422-0004","Ronan.Gregory@lakeroyaluniversity.com.com","P.O. Box 561, 2501 Fringilla Rd.","Lake Butler","32054","Password1","No","Student","Florida","United States of America"
"500026","Blake","Melissa","1-561-895-7655","Melissa.Blake@lakeroyaluniversity.com.com","Ap #289-9190 Et St.","Lake City","32055","Password1","No","Student","Florida","United States of America"
"500027","Cairo","Dexter","1-561-338-0187","Dexter.Cairo@lakeroyaluniversity.com.com","P.O. Box 110, 5066 Mattis Ave","Lake City","32056","Password1","No","Student","Florida","United States of America"
"500028","Leo","Kenyon","1-561-200-7692","Kenyon.Leo@lakeroyaluniversity.com.com","Ap #670-6101 Non Road","Lawtey","32058","Password1","No","Student","Florida","United States of America"
"500029","Rhea","Iona","1-561-846-4530","Iona.Rhea@lakeroyaluniversity.com.com","984-5540 Rhoncus Rd.","Lee","32059","Password1","No","Student","Florida","United States of America"
"500030","Jerome","Rogan","1-561-795-9440","Rogan.Jerome@lakeroyaluniversity.com.com","2453 Facilisi. Road","Live Oak","32060","Password1","No","Student","Florida","United States of America"
"500031","Linda","Cedric","1-561-105-6553","Cedric.Linda@lakeroyaluniversity.com.com","573-2606 Nunc St.","Lulu","32061","Password1","No","Student","Florida","United States of America"
"500032","Louis","Shea","1-561-265-6376","Shea.Louis@lakeroyaluniversity.com.com","P.O. Box 512, 2543 Ultrices Av.","Mc Alpin","32062","Password1","No","Student","Florida","United States of America"
"500033","Wendy","Deirdre","1-561-107-0296","Deirdre.Wendy@lakeroyaluniversity.com.com","8515 Risus. Avenue","Macclenny","32063","Password1","No","Student","Florida","United States of America"
"500034","Iliana","Nash","1-561-882-5497","Nash.Iliana@lakeroyaluniversity.com.com","Ap #287-8508 Quam. Rd.","Live Oak","32064","Password1","No","Student","Florida","United States of America"
"500035","Allistair","Astra","1-561-153-0552","Astra.Allistair@lakeroyaluniversity.com.com","Ap #888-403 Sociis Av.","Orange Park","32065","Password1","No","Student","Florida","United States of America"
"500036","Jocelyn","Amanda","1-561-418-5184","Amanda.Jocelyn@lakeroyaluniversity.com.com","Ap #806-2813 Neque. St.","Mayo","32066","Password1","No","Student","Florida","United States of America"
"500037","Raymond","Karleigh","1-561-307-2033","Karleigh.Raymond@lakeroyaluniversity.com.com","Ap #260-9974 Aliquet Avenue","Orange Park","32067","Password1","No","Student","Florida","United States of America"
"500038","Rosalyn","Lionel","1-561-359-0335","Lionel.Rosalyn@lakeroyaluniversity.com.com","142-6714 Arcu St.","Middleburg","32068","Password1","No","Student","Florida","United States of America"
"500039","Kylie","Jesse","1-561-630-9198","Jesse.Kylie@lakeroyaluniversity.com.com","Ap #624-730 Luctus Avenue","O Brien","32071","Password1","No","Student","Florida","United States of America"
"500040","Bruno","George","1-561-908-4457","George.Bruno@lakeroyaluniversity.com.com","743-5490 Morbi Avenue","Olustee","32072","Password1","No","Student","Florida","United States of America"
"500041","Ciaran","Jenna","1-561-694-3115","Jenna.Ciaran@lakeroyaluniversity.com.com","4088 Risus. Road","Orange Park","32073","Password1","No","Student","Florida","United States of America"
"500042","Taylor","Kennan","1-561-146-3639","Kennan.Taylor@lakeroyaluniversity.com.com","5070 Purus, St.","Penney Farms","32079","Password1","No","Student","Florida","United States of America"
"500043","Devin","Gisela","1-561-287-9906","Gisela.Devin@lakeroyaluniversity.com.com","Ap #934-4378 Nulla Ave","Saint Augustine","32080","Password1","No","Student","Florida","United States of America"
"500044","Melvin","Laith","1-561-752-1973","Laith.Melvin@lakeroyaluniversity.com.com","Ap #258-8951 Nullam Ave","Ponte Vedra","32081","Password1","No","Student","Florida","United States of America"
"500045","Ahmed","Olivia","1-561-260-2092","Olivia.Ahmed@lakeroyaluniversity.com.com","Ap #372-1686 Erat. St.","Ponte Vedra Beach","32082","Password1","No","Student","Florida","United States of America"
"500046","Jasper","Kane","1-561-651-4017","Kane.Jasper@lakeroyaluniversity.com.com","Ap #394-9014 Non, Rd.","Raiford","32083","Password1","No","Student","Florida","United States of America"
"500047","Imelda","Carlos","1-561-137-5822","Carlos.Imelda@lakeroyaluniversity.com.com","8595 Vulputate Avenue","Saint Augustine","32084","Password1","No","Student","Florida","United States of America"
"500048","Kenneth","Whilemina","1-561-283-5755","Whilemina.Kenneth@lakeroyaluniversity.com.com","8996 Amet, Rd.","Saint Augustine","32085","Password1","No","Student","Florida","United States of America"
"500049","Diana","Malik","1-561-571-5192","Malik.Diana@lakeroyaluniversity.com.com","4267 Turpis Ave","Saint Augustine","32086","Password1","No","Student","Florida","United States of America"
"500050","Curran","Isaiah","1-561-204-5884","Isaiah.Curran@lakeroyaluniversity.com.com","3691 Consequat St.","Sanderson","32087","Password1","No","Student","Florida","United States of America"
"500051","Coby","Ruth","1-561-769-0098","Ruth.Coby@lakeroyaluniversity.com.com","449-1595 Eu Ave","Starke","32091","Password1","No","Student","Florida","United States of America"
"500052","Jelani","Fletcher","1-561-598-1007","Fletcher.Jelani@lakeroyaluniversity.com.com","6582 Velit Street","Saint Augustine","32092","Password1","No","Student","Florida","United States of America"
"500053","Shaeleigh","Shelly","1-561-626-5226","Shelly.Shaeleigh@lakeroyaluniversity.com.com","2505 Egestas Rd.","Wellborn","32094","Password1","No","Student","Florida","United States of America"
"500054","Isabelle","Eric","1-561-882-0972","Eric.Isabelle@lakeroyaluniversity.com.com","Ap #398-3758 Consectetuer Avenue","Saint Augustine","32095","Password1","No","Student","Florida","United States of America"
"500055","Maile","Yolanda","1-561-631-6587","Yolanda.Maile@lakeroyaluniversity.com.com","186-8273 Ultrices Road","White Springs","32096","Password1","No","Student","Florida","United States of America"
"500056","Meredith","Janna","1-561-260-9561","Janna.Meredith@lakeroyaluniversity.com.com","996-2584 Arcu. Street","Yulee","32097","Password1","No","Student","Florida","United States of America"
"500057","Mercedes","Tyrone","1-561-933-0801","Tyrone.Mercedes@lakeroyaluniversity.com.com","Ap #577-4971 Non Rd.","Jacksonville","32099","Password1","No","Student","Florida","United States of America"
"500058","Tashya","Wyoming","1-561-512-9729","Wyoming.Tashya@lakeroyaluniversity.com.com","2632 Nec, Street","Astor","32102","Password1","No","Student","Florida","United States of America"
"500059","Daphne","Melanie","1-561-740-9415","Melanie.Daphne@lakeroyaluniversity.com.com","7625 Et St.","Barberville","32105","Password1","No","Student","Florida","United States of America"
"500060","Damon","Stone","1-561-173-1655","Stone.Damon@lakeroyaluniversity.com.com","8383 Tincidunt Street","Bunnell","32110","Password1","No","Student","Florida","United States of America"
"500061","Jamalia","Jada","1-561-730-4969","Jada.Jamalia@lakeroyaluniversity.com.com","873-4217 Pharetra Ave","Candler","32111","Password1","No","Student","Florida","United States of America"
"500062","Dylan","Kalia","1-561-632-1103","Kalia.Dylan@lakeroyaluniversity.com.com","P.O. Box 276, 7740 Aliquet St.","Crescent City","32112","Password1","No","Student","Florida","United States of America"
"500063","Francis","Janna","1-561-436-1788","Janna.Francis@lakeroyaluniversity.com.com","814-8539 Vel, St.","Citra","32113","Password1","No","Student","Florida","United States of America"
"500064","Maxwell","Venus","1-561-812-6378","Venus.Maxwell@lakeroyaluniversity.com.com","Ap #983-3957 Urna. Rd.","Daytona Beach","32114","Password1","No","Student","Florida","United States of America"
"500065","Colton","Alvin","1-561-642-0291","Alvin.Colton@lakeroyaluniversity.com.com","6433 Tincidunt Ave","Daytona Beach","32115","Password1","No","Student","Florida","United States of America"
"500066","Keely","Eric","1-561-887-4020","Eric.Keely@lakeroyaluniversity.com.com","Ap #682-6488 Felis Ave","Daytona Beach","32116","Password1","No","Student","Florida","United States of America"
"500067","Julie","Amity","1-561-939-0940","Amity.Julie@lakeroyaluniversity.com.com","1018 Sed Ave","Daytona Beach","32117","Password1","No","Student","Florida","United States of America"
"500068","Nola","Willa","1-561-407-6905","Willa.Nola@lakeroyaluniversity.com.com","9030 Pellentesque Av.","Daytona Beach","32118","Password1","No","Student","Florida","United States of America"
"500069","Troy","Rama","1-561-506-5778","Rama.Troy@lakeroyaluniversity.com.com","9149 In Street","Daytona Beach","32119","Password1","No","Student","Florida","United States of America"
"500070","Whilemina","Jessamine","1-561-104-9990","Jessamine.Whilemina@lakeroyaluniversity.com.com","333 Vel Av.","Daytona Beach","32120","Password1","No","Student","Florida","United States of America"
"500071","Ralph","Samuel","1-561-368-7309","Samuel.Ralph@lakeroyaluniversity.com.com","Ap #789-4416 Dolor, Ave","Daytona Beach","32121","Password1","No","Student","Florida","United States of America"
"500072","Simone","Sara","1-561-689-7401","Sara.Simone@lakeroyaluniversity.com.com","547-9778 Dignissim St.","Daytona Beach","32122","Password1","No","Student","Florida","United States of America"
"500073","Kai","Donovan","1-561-996-8514","Donovan.Kai@lakeroyaluniversity.com.com","539-7549 Tristique Street","Port Orange","32123","Password1","No","Student","Florida","United States of America"
"500074","Stewart","Sara","1-561-207-6008","Sara.Stewart@lakeroyaluniversity.com.com","P.O. Box 376, 6248 Proin St.","Daytona Beach","32124","Password1","No","Student","Florida","United States of America"
"500075","Summer","Lionel","1-561-231-1753","Lionel.Summer@lakeroyaluniversity.com.com","413-6612 A, Rd.","Daytona Beach","32125","Password1","No","Student","Florida","United States of America"
"500076","Lynn","Miriam","1-561-482-8262","Miriam.Lynn@lakeroyaluniversity.com.com","P.O. Box 680, 8827 Arcu Street","Daytona Beach","32126","Password1","No","Student","Florida","United States of America"
"500077","Melinda","Rinah","1-561-874-1763","Rinah.Melinda@lakeroyaluniversity.com.com","208-1484 Semper St.","Port Orange","32127","Password1","No","Student","Florida","United States of America"
"500078","Octavia","Mari","1-561-582-1398","Mari.Octavia@lakeroyaluniversity.com.com","371-9793 Interdum Av.","Port Orange","32128","Password1","No","Student","Florida","United States of America"
"500079","Julian","Quamar","1-561-333-4001","Quamar.Julian@lakeroyaluniversity.com.com","P.O. Box 633, 1709 Rutrum, Ave","Port Orange","32129","Password1","No","Student","Florida","United States of America"
"500080","Aileen","Indira","1-561-685-9168","Indira.Aileen@lakeroyaluniversity.com.com","P.O. Box 790, 893 Nunc Street","De Leon Springs","32130","Password1","No","Student","Florida","United States of America"
"500081","Kevin","Merrill","1-561-134-3211","Merrill.Kevin@lakeroyaluniversity.com.com","Ap #928-4614 Scelerisque Rd.","East Palatka","32131","Password1","No","Student","Florida","United States of America"
"500082","Oscar","Rosalyn","1-561-373-2456","Rosalyn.Oscar@lakeroyaluniversity.com.com","103-4387 Dictum Avenue","Edgewater","32132","Password1","No","Student","Florida","United States of America"
"500083","Tashya","Haley","1-561-994-2955","Haley.Tashya@lakeroyaluniversity.com.com","P.O. Box 524, 1001 Pharetra St.","Eastlake Weir","32133","Password1","No","Student","Florida","United States of America"
"500084","Baxter","Ora","1-561-236-8438","Ora.Baxter@lakeroyaluniversity.com.com","7651 Malesuada Rd.","Fort Mc Coy","32134","Password1","No","Student","Florida","United States of America"
"500085","Katelyn","Logan","1-561-515-7552","Logan.Katelyn@lakeroyaluniversity.com.com","5970 Tortor. Ave","Palm Coast","32135","Password1","No","Student","Florida","United States of America"
"500086","Paloma","Harding","1-561-179-6711","Harding.Paloma@lakeroyaluniversity.com.com","Ap #936-9662 Nunc. Av.","Flagler Beach","32136","Password1","No","Student","Florida","United States of America"
"500087","Wade","Chiquita","1-561-675-1709","Chiquita.Wade@lakeroyaluniversity.com.com","Ap #342-209 Aliquam Ave","Palm Coast","32137","Password1","No","Student","Florida","United States of America"
"500088","Luke","Tasha","1-561-121-6421","Tasha.Luke@lakeroyaluniversity.com.com","393-5819 Id Av.","Grandin","32138","Password1","No","Student","Florida","United States of America"
"500089","Lionel","Bradley","1-561-574-3289","Bradley.Lionel@lakeroyaluniversity.com.com","Ap #181-1097 Dolor. Avenue","Georgetown","32139","Password1","No","Student","Florida","United States of America"
"500090","Nero","Tana","1-561-632-6265","Tana.Nero@lakeroyaluniversity.com.com","Ap #219-1189 Cras Rd.","Florahome","32140","Password1","No","Student","Florida","United States of America"
"500091","Patricia","Whilemina","1-561-485-8745","Whilemina.Patricia@lakeroyaluniversity.com.com","8586 Eu Ave","Edgewater","32141","Password1","No","Student","Florida","United States of America"
"500092","Adrienne","Mariko","1-561-392-1187","Mariko.Adrienne@lakeroyaluniversity.com.com","Ap #527-1039 Rhoncus. Ave","Palm Coast","32142","Password1","No","Student","Florida","United States of America"
"500093","Isaiah","Maite","1-561-499-8464","Maite.Isaiah@lakeroyaluniversity.com.com","202 Nibh. St.","Hastings","32145","Password1","No","Student","Florida","United States of America"
"500094","Chester","Jonas","1-561-852-7317","Jonas.Chester@lakeroyaluniversity.com.com","318-9884 Sit St.","Hollister","32147","Password1","No","Student","Florida","United States of America"
"500095","Shannon","Gavin","1-561-416-4725","Gavin.Shannon@lakeroyaluniversity.com.com","847-3276 Netus Rd.","Interlachen","32148","Password1","No","Student","Florida","United States of America"
"500096","Virginia","Sierra","1-561-313-3238","Sierra.Virginia@lakeroyaluniversity.com.com","P.O. Box 354, 4788 Dapibus Avenue","Edgar","32149","Password1","No","Student","Florida","United States of America"
"500097","Velma","Virginia","1-561-634-1879","Virginia.Velma@lakeroyaluniversity.com.com","6805 Cursus Av.","Lake Como","32157","Password1","No","Student","Florida","United States of America"
"500098","Kathleen","Regina","1-561-152-9670","Regina.Kathleen@lakeroyaluniversity.com.com","Ap #631-4489 Rutrum St.","Lady Lake","32158","Password1","No","Student","Florida","United States of America"
"500099","Barrett","Jelani","1-561-226-0991","Jelani.Barrett@lakeroyaluniversity.com.com","496-8573 In Rd.","Lady Lake","32159","Password1","No","Student","Florida","United States of America"
"500100","Charissa","Akeem","1-561-204-0884","Akeem.Charissa@lakeroyaluniversity.com.com","566-8327 Arcu St.","Lake Geneva","32160","Password1","No","Student","Florida","United States of America"
"500101","Vincent","Tashya","1-561-544-0608","Tashya.Vincent@lakeroyaluniversity.com.com","942-476 Urna St.","Lady Lake","32162","Password1","No","Student","Florida","United States of America"
"500102","Isaiah","Bruce","1-561-589-0356","Bruce.Isaiah@lakeroyaluniversity.com.com","Ap #384-9295 Posuere Avenue","Palm Coast","32164","Password1","No","Student","Florida","United States of America"
"500103","Bevis","Caleb","1-561-283-7885","Caleb.Bevis@lakeroyaluniversity.com.com","2678 Elit, Rd.","New Smyrna Beach","32168","Password1","No","Student","Florida","United States of America"
"500104","Joan","Ryder","1-561-446-2014","Ryder.Joan@lakeroyaluniversity.com.com","642-2535 Duis Avenue","New Smyrna Beach","32169","Password1","No","Student","Florida","United States of America"
"500105","Jenna","Janna","1-561-288-0646","Janna.Jenna@lakeroyaluniversity.com.com","Ap #171-6451 Libero Road","New Smyrna Beach","32170","Password1","No","Student","Florida","United States of America"
"500106","Alden","Quail","1-561-338-4021","Quail.Alden@lakeroyaluniversity.com.com","P.O. Box 988, 4838 Purus Road","Ormond Beach","32173","Password1","No","Student","Florida","United States of America"
"500107","Graiden","Anastasia","1-561-742-3460","Anastasia.Graiden@lakeroyaluniversity.com.com","Ap #563-6746 At Avenue","Ormond Beach","32174","Password1","No","Student","Florida","United States of America"
"500108","Gisela","Francis","1-561-840-5081","Francis.Gisela@lakeroyaluniversity.com.com","311-8374 Urna. Rd.","Ormond Beach","32175","Password1","No","Student","Florida","United States of America"
"500109","Stewart","Jordan","1-561-590-9191","Jordan.Stewart@lakeroyaluniversity.com.com","3645 Pede. Road","Ormond Beach","32176","Password1","No","Student","Florida","United States of America"
"500110","Nichole","Gareth","1-561-809-5133","Gareth.Nichole@lakeroyaluniversity.com.com","Ap #143-3138 Eu St.","Palatka","32177","Password1","No","Student","Florida","United States of America"
"500111","Julian","Gail","1-561-675-2824","Gail.Julian@lakeroyaluniversity.com.com","Ap #443-9987 Egestas, Rd.","Palatka","32178","Password1","No","Student","Florida","United States of America"
"500112","Micah","Noble","1-561-189-4222","Noble.Micah@lakeroyaluniversity.com.com","P.O. Box 206, 600 Eros. Av.","Ocklawaha","32179","Password1","No","Student","Florida","United States of America"
"500113","Nehru","Desirae","1-561-999-8509","Desirae.Nehru@lakeroyaluniversity.com.com","Ap #552-1547 Tellus Street","Pierson","32180","Password1","No","Student","Florida","United States of America"
"500114","Harper","Sasha","1-561-363-0501","Sasha.Harper@lakeroyaluniversity.com.com","P.O. Box 993, 4579 Vehicula Av.","Pomona Park","32181","Password1","No","Student","Florida","United States of America"
"500115","Levi","Jaime","1-561-687-7622","Jaime.Levi@lakeroyaluniversity.com.com","6828 Neque Road","Orange Springs","32182","Password1","No","Student","Florida","United States of America"
"500116","Aubrey","Keely","1-561-642-6011","Keely.Aubrey@lakeroyaluniversity.com.com","P.O. Box 937, 2073 Lobortis Street","Ocklawaha","32183","Password1","No","Student","Florida","United States of America"
"500117","Gail","Ezra","1-561-537-7773","Ezra.Gail@lakeroyaluniversity.com.com","1740 Nunc Rd.","Putnam Hall","32185","Password1","No","Student","Florida","United States of America"
"500118","Vera","Serina","1-561-158-6498","Serina.Vera@lakeroyaluniversity.com.com","495-6280 Donec Ave","San Mateo","32187","Password1","No","Student","Florida","United States of America"
"500119","Inga","Hanae","1-561-414-1588","Hanae.Inga@lakeroyaluniversity.com.com","8479 Ullamcorper Av.","Satsuma","32189","Password1","No","Student","Florida","United States of America"
"500120","Moses","Fiona","1-561-796-1878","Fiona.Moses@lakeroyaluniversity.com.com","762-9428 Nec, Av.","Seville","32190","Password1","No","Student","Florida","United States of America"
"500121","Xandra","Tatum","1-561-821-5371","Tatum.Xandra@lakeroyaluniversity.com.com","557-4873 Ac Ave","Sparr","32192","Password1","No","Student","Florida","United States of America"
"500122","Burke","Graham","1-561-260-4691","Graham.Burke@lakeroyaluniversity.com.com","9387 Fringilla. Av.","Welaka","32193","Password1","No","Student","Florida","United States of America"
"500123","Kelsey","Imogene","1-561-276-9846","Imogene.Kelsey@lakeroyaluniversity.com.com","8241 Ullamcorper, Rd.","Weirsdale","32195","Password1","No","Student","Florida","United States of America"
"500124","Cleo","Ursula","1-561-535-6846","Ursula.Cleo@lakeroyaluniversity.com.com","Ap #138-7100 Eu Rd.","Daytona Beach","32198","Password1","No","Student","Florida","United States of America"
"500125","Jack","Kameko","1-561-615-0577","Kameko.Jack@lakeroyaluniversity.com.com","593-1846 Vel Rd.","Jacksonville","32201","Password1","No","Student","Florida","United States of America"
"500126","Jaden","Chantale","1-561-142-1643","Chantale.Jaden@lakeroyaluniversity.com.com","P.O. Box 378, 9022 Aliquam Av.","Jacksonville","32202","Password1","No","Student","Florida","United States of America"
"500127","Dorian","Piper","1-561-555-7794","Piper.Dorian@lakeroyaluniversity.com.com","1800 Mauris Rd.","Jacksonville","32203","Password1","No","Student","Florida","United States of America"
"500128","Macon","Alice","1-561-741-9557","Alice.Macon@lakeroyaluniversity.com.com","P.O. Box 117, 1316 Inceptos Av.","Jacksonville","32204","Password1","No","Student","Florida","United States of America"
"500129","Hamilton","Cullen","1-561-598-8545","Cullen.Hamilton@lakeroyaluniversity.com.com","Ap #698-6649 Odio. Rd.","Jacksonville","32205","Password1","No","Student","Florida","United States of America"
"500130","Ciara","Holly","1-561-307-0181","Holly.Ciara@lakeroyaluniversity.com.com","Ap #195-7810 Metus Avenue","Jacksonville","32206","Password1","No","Student","Florida","United States of America"
"500131","Halee","Diana","1-561-704-0779","Diana.Halee@lakeroyaluniversity.com.com","Ap #302-101 Placerat St.","Jacksonville","32207","Password1","No","Student","Florida","United States of America"
"500132","Ivory","Rae","1-561-512-1755","Rae.Ivory@lakeroyaluniversity.com.com","P.O. Box 436, 8875 Fusce Rd.","Jacksonville","32208","Password1","No","Student","Florida","United States of America"
"500133","Kylie","May","1-561-763-1448","May.Kylie@lakeroyaluniversity.com.com","P.O. Box 412, 2912 Nam Street","Jacksonville","32209","Password1","No","Student","Florida","United States of America"
"500134","Kessie","Lavinia","1-561-729-5612","Lavinia.Kessie@lakeroyaluniversity.com.com","568-716 Nec, Rd.","Jacksonville","32210","Password1","No","Student","Florida","United States of America"
"500135","Brody","Alden","1-561-394-7530","Alden.Brody@lakeroyaluniversity.com.com","740-4447 Egestas. St.","Jacksonville","32211","Password1","No","Student","Florida","United States of America"
"500136","Tanek","Brittany","1-561-371-4287","Brittany.Tanek@lakeroyaluniversity.com.com","Ap #101-2676 Suscipit Avenue","Jacksonville","32212","Password1","No","Student","Florida","United States of America"
"500137","Taylor","Patricia","1-561-318-9026","Patricia.Taylor@lakeroyaluniversity.com.com","427-1765 Mauris St.","Jacksonville","32214","Password1","No","Student","Florida","United States of America"
"500138","Elliott","Mechelle","1-561-981-9046","Mechelle.Elliott@lakeroyaluniversity.com.com","6046 Et Road","Jacksonville","32215","Password1","No","Student","Florida","United States of America"
"500139","Bethany","Emily","1-561-928-4999","Emily.Bethany@lakeroyaluniversity.com.com","Ap #717-4298 Urna. Road","Jacksonville","32216","Password1","No","Student","Florida","United States of America"
"500140","Evan","Rama","1-561-971-0710","Rama.Evan@lakeroyaluniversity.com.com","P.O. Box 333, 3093 Dapibus Av.","Jacksonville","32217","Password1","No","Student","Florida","United States of America"
"500141","Dahlia","Molly","1-561-869-7443","Molly.Dahlia@lakeroyaluniversity.com.com","475-5534 Tincidunt St.","Jacksonville","32218","Password1","No","Student","Florida","United States of America"
"500142","Charde","Melodie","1-561-547-8247","Melodie.Charde@lakeroyaluniversity.com.com","P.O. Box 397, 2601 Pede, St.","Jacksonville","32219","Password1","No","Student","Florida","United States of America"
"500143","Bert","Joseph","1-561-554-3967","Joseph.Bert@lakeroyaluniversity.com.com","724-816 Curabitur St.","Jacksonville","32220","Password1","No","Student","Florida","United States of America"
"500144","Jaquelyn","Troy","1-561-679-8348","Troy.Jaquelyn@lakeroyaluniversity.com.com","1617 Ullamcorper, Ave","Jacksonville","32221","Password1","No","Student","Florida","United States of America"
"500145","Buckminster","Mannix","1-561-291-1568","Mannix.Buckminster@lakeroyaluniversity.com.com","7151 Sed, Avenue","Jacksonville","32222","Password1","No","Student","Florida","United States of America"
"500146","Eric","Dominic","1-561-904-9890","Dominic.Eric@lakeroyaluniversity.com.com","857-4821 Consequat, Av.","Jacksonville","32223","Password1","No","Student","Florida","United States of America"
"500147","Plato","Clarke","1-561-603-8767","Clarke.Plato@lakeroyaluniversity.com.com","P.O. Box 906, 3968 Velit Street","Jacksonville","32224","Password1","No","Student","Florida","United States of America"
"500148","Jakeem","Dieter","1-561-769-1285","Dieter.Jakeem@lakeroyaluniversity.com.com","Ap #795-2498 Id Road","Jacksonville","32225","Password1","No","Student","Florida","United States of America"
"500149","Ulla","Olga","1-561-519-6420","Olga.Ulla@lakeroyaluniversity.com.com","Ap #641-5860 Convallis Avenue","Jacksonville","32226","Password1","No","Student","Florida","United States of America"
"500150","Roary","Bree","1-561-104-3406","Bree.Roary@lakeroyaluniversity.com.com","Ap #564-360 Orci Ave","Jacksonville","32227","Password1","No","Student","Florida","United States of America"
"500151","Wylie","Athena","1-561-726-6439","Athena.Wylie@lakeroyaluniversity.com.com","9215 Donec Ave","Jacksonville","32228","Password1","No","Student","Florida","United States of America"
"500152","Brynn","Camilla","1-561-297-8030","Camilla.Brynn@lakeroyaluniversity.com.com","P.O. Box 454, 2097 Molestie Av.","Jacksonville","32229","Password1","No","Student","Florida","United States of America"
"500153","Amos","Chadwick","1-561-151-2195","Chadwick.Amos@lakeroyaluniversity.com.com","Ap #652-2273 Interdum. Rd.","Jacksonville","32230","Password1","No","Student","Florida","United States of America"
